TIME,FLIGHT,FROM_AIRPORT,IATA,AIRLINE,AIRCRAFT,STATUS
0:28,AA2280,Miami ,MIA,American Airlines,A321 (N147AA),Delayed 01:53
0:30,OZ285,Los Angeles ,LAX,Asiana Airlines,B741,Scheduled
0:30,OZ286,Los Angeles ,LAX,Asiana Airlines,B741,Scheduled
1:25,KE214,Los Angeles ,LAX,Korean Air,B744,Scheduled
2:20,8C3201,Wilmington ,ILN,Air Transport International,B762 (N739AX),Estimated 02:22
5:10,UA2584,Honolulu ,HNL,United Airlines,B77W (N2332U),Estimated 04:41
6:00,AI173,Delhi ,DEL,Air India,B77L (VT-ALF),Estimated 05:22
6:00,UA955,Tel Aviv ,TLV,United Airlines,B789 (N13954),Estimated 05:24
6:12,UA868,Delhi ,DEL,United Airlines,B789,Scheduled
6:19,UA1092,Kailua-Kona ,KOA,United Airlines,B739 (N37437),Scheduled
6:24,UA1575,Honolulu ,HNL,United Airlines,B772 (N777UA),Scheduled
6:26,UA1580,Kahului ,OGG,United Airlines,B738 (N77537),Scheduled
6:30,UA282,Lihue ,LIH,United Airlines,B738 (N87531),Scheduled
6:50,UA114,Papeete ,PPT,United Airlines,B789 (N25982),Estimated 06:36
7:34,UA5572,Ontario ,ONT,United Express,E75L (N119SY),Scheduled
7:38,UA5313,Arcata ,ACV,United Express,E75L (N116SY),Scheduled
7:38,UA5631,Bakersfield ,BFL,United Express,E75L (N621UX),Scheduled
7:38,UA5882,San Luis Obispo ,SBP,United Express,CRJ2 (N652BR),Scheduled
7:42,UA4680,Medford ,MFR,United Express,E75L (N153SY),Scheduled
7:42,UA5998,Reno ,RNO,United Express,E75L (N213SY),Scheduled
7:44,UA5324,Sacramento ,SMF,United Express,E75L (N146SY),Scheduled
7:44,UA5819,Santa Barbara ,SBA,United Express,E75L (N202SY),Scheduled
7:48,1I154,Las Vegas ,LAS,NetJets,GLEX,Scheduled
7:49,UA5317,Salt Lake City ,SLC,United Express,CRJ7 (N780SK),Scheduled
7:56,AS2120,Los Angeles ,LAX,Alaska Horizon,E75L (N638QX),Scheduled
8:10,AS376,Seattle ,SEA,Alaska Airlines,A21N (N928VA),Scheduled
8:15,K4344,Seattle ,SEA,Kalitta Air,B763,Scheduled
8:20,UA870,Sydney ,SYD,United Airlines,B789 (N27959),Estimated 08:12
8:20,UA872,Taipei ,TPE,United Airlines,B77W (N2639U),Delayed 09:04
8:25,WN819,Los Angeles ,LAX,Southwest Airlines,B737 (N267WN),Scheduled
8:26,AS3461,San Diego ,SAN,Alaska SkyWest,E75L (N400SY),Scheduled
8:30,UA858,Shanghai ,PVG,United Airlines,B77W (N2136U),Estimated 07:57
8:34,NH8,Tokyo ,NRT,All Nippon Airways,B77W (JA779A),Scheduled
8:40,AS2499,Portland ,PDX,Alaska Horizon,E75L (N643QX),Scheduled
8:40,F92079,Las Vegas ,LAS,Frontier (Weston the Woodpecker Livery),A20N (N309FR),Scheduled
8:40,WN261,Burbank ,BUR,Southwest Airlines,B737 (N276WN),Scheduled
8:51,AS3455,Las Vegas ,LAS,Alaska SkyWest,E75L (N192SY),Scheduled
9:05,UA820,Mexico City ,MEX,United Airlines,B738 (N76508),Scheduled
9:05,UA5464,Redmond ,RDM,United Express,E75L (N144SY),Scheduled
9:10,WN1391,San Diego ,SAN,Southwest Airlines,B737 (N553WN),Scheduled
9:14,UA1852,Las Vegas ,LAS,United Airlines,B738 (N27239),Scheduled
9:15,UA838,Tokyo ,NRT,United Airlines,B789 (N24980),Scheduled
9:20,UA2123,Austin ,AUS,United Airlines,A320 (N472UA),Scheduled
9:20,UA5997,Palm Springs ,PSP,United Express,CRJ2 (N982SW),Scheduled
9:21,UA5358,Boise ,BOI,United Express,E75L (N207SY),Scheduled
9:22,UA2480,San Diego ,SAN,United Airlines,B738 (N76526),Scheduled
9:22,UA5406,Tucson ,TUS,United Express,E75L (N130SY),Scheduled
9:23,UA5736,Salt Lake City ,SLC,United Express,CRJ2 (N854AS),Scheduled
9:25,UA5437,Phoenix ,PHX,United Express,E75L (N120SY),Scheduled
9:26,UA5276,Burbank ,BUR,United Express,E75L (N128SY),Scheduled
9:27,AS3317,Santa Ana ,SNA,Alaska SkyWest,E75L (N195SY),Scheduled
9:29,JL58,Tokyo ,NRT,Japan Airlines,B77W,Scheduled
9:30,UA2499,Seattle ,SEA,United Airlines,A319 (N848UA),Scheduled
9:30,UA5874,Fresno ,FAT,United Express,CRJ2 (N916EV),Scheduled
9:32,DL1303,Salt Lake City ,SLC,Delta Air Lines,BCS1 (N121DU),Scheduled
9:32,UA753,Santa Ana ,SNA,United Airlines,A320 (N468UA),Scheduled
9:37,UA4714,Redding ,RDD,United Express,CRJ2 (N947SW),Scheduled
9:38,UA419,Denver ,DEN,United Airlines,B738 (N14214),Scheduled
9:40,UA4733,Vancouver ,YVR,United Express,E75L (N209SY),Scheduled
9:43,UA2166,Chicago ,ORD,United Airlines,B738 (N26215),Scheduled
9:44,AS3357,Boise ,BOI,Alaska SkyWest,E75L (N189SY),Scheduled
9:45,UA501,Los Angeles ,LAX,United Airlines,B739 (N75429),Scheduled
9:45,UA4653,Eugene ,EUG,United Express,E75L (N135SY),Scheduled
9:46,UA277,Washington ,IAD,United Airlines,B739 (N36476),Scheduled
9:47,UA255,Houston ,IAH,United Airlines,B739 (N75426),Scheduled
9:47,UA1491,Portland ,PDX,United Airlines,A320 (N438UA),Scheduled
9:47,UA5522,Minneapolis ,MSP,United Express,E75L (N606UX),Scheduled
9:48,UA225,New York ,EWR,United Airlines,B752 (N48127),Scheduled
9:52,AS3367,Palm Springs ,PSP,Alaska SkyWest,E75L (N188SY),Scheduled
9:55,DL3501,Los Angeles ,LAX,Delta Connection,E75L (N263SY),Scheduled
10:03,AS766,Seattle ,SEA,Alaska Airlines,B739 (N290AK),Scheduled
10:05,OO1357,Tucson ,TUS,United Express,CRJ2 (N701BR),Scheduled
10:11,AS3437,Salt Lake City ,SLC,Alaska SkyWest,E75L (N194SY),Scheduled
10:14,DL3708,Seattle ,SEA,Delta Connection,E75L (N299SY),Scheduled
10:22,DL715,Atlanta ,ATL,Delta Air Lines,B739 (N905DN),Scheduled
10:30,AA2916,Dallas ,DFW,American Airlines,B738 (N942NN),Scheduled
10:30,F9663,Denver ,DEN,Frontier (Watson the Key Deer Livery),A20N (N372FR),Scheduled
10:32,AA788,Phoenix ,PHX,American Airlines,A321 (N928AM),Scheduled
10:39,DL712,Detroit ,DTW,Delta Air Lines,B739 (N823DN),Scheduled
