COUNTY,IATA,TIME,FLIGHT,FROM_AIRPORT,AIRLINE,AIRCRAFT,STATUS,14_DAY_AVERAGE,COVID_MEASURE_TYPE
Los Angeles,LAX,0:30,OZ285,Los Angeles ,Asiana Airlines,B741,Scheduled,1434,High
Los Angeles,LAX,0:30,OZ286,Los Angeles ,Asiana Airlines,B741,Scheduled,1434,High
Los Angeles,LAX,1:25,KE214,Los Angeles ,Korean Air,B744,Scheduled,1434,High
San Bernardino,ONT,7:34,UA5572,Ontario ,United Express,E75L (N119SY),Scheduled,420,High
Humboldt,ACV,7:38,UA5313,Arcata ,United Express,E75L (N116SY),Scheduled,2,Low
Kern,BFL,7:38,UA5631,Bakersfield ,United Express,E75L (N621UX),Scheduled,92,Medium
San Luis Obispo,SBP,7:38,UA5882,San Luis Obispo ,United Express,CRJ2 (N652BR),Scheduled,31,Medium
Sacramento,SMF,7:44,UA5324,Sacramento ,United Express,E75L (N146SY),Scheduled,162,High
Santa Barbara,SBA,7:44,UA5819,Santa Barbara ,United Express,E75L (N202SY),Scheduled,26,Medium
Los Angeles,LAX,7:56,AS2120,Los Angeles ,Alaska Horizon,E75L (N638QX),Scheduled,1434,High
Los Angeles,LAX,8:25,WN819,Los Angeles ,Southwest Airlines,B737 (N267WN),Scheduled,1434,High
San Diego,SAN,8:26,AS3461,San Diego ,Alaska SkyWest,E75L (N400SY),Scheduled,371,High
Los Angeles,BUR,8:40,WN261,Burbank ,Southwest Airlines,B737 (N276WN),Scheduled,1434,High
San Diego,SAN,9:10,WN1391,San Diego ,Southwest Airlines,B737 (N553WN),Scheduled,371,High
Riverside,PSP,9:20,UA5997,Palm Springs ,United Express,CRJ2 (N982SW),Scheduled,350,High
San Diego,SAN,9:22,UA2480,San Diego ,United Airlines,B738 (N76526),Scheduled,371,High
Los Angeles,BUR,9:26,UA5276,Burbank ,United Express,E75L (N128SY),Scheduled,1434,High
