source,target
5064,1776
5064,488
5064,190
5064,489
5064,380
5064,4690
5064,3096
5064,10400
5064,73931
5064,36592
5064,1373737
5064,10990
5064,10215
5064,230194
5064,230195
5064,325
5064,70851
5064,134
5064,2231
5064,1
5064,6159
5064,131
5064,107515
5064,60034
5064,33829
5064,1164
5064,1242428
1776,488
1776,2559324
1776,2559325
1776,27888
1776,2630
1776,3037
1776,4951
1776,1
1776,6159
1776,1032
1776,1150
1776,64
1776,6384
1776,1769
1776,205
1776,4512
1776,55983
1776,7908
1776,1236773
1776,1006721
1776,11483
1776,15175
1776,138
1776,36594
1776,3084
1776,3087
1776,8349
488,13848
488,4111
488,3037
488,4951
488,9261
488,31
488,2227
488,500
488,2297235
488,491
488,1
488,30807
488,670
488,8750
488,1032
488,1006721
488,11483
488,2231
488,6159
488,2154
488,2152
488,516
488,325
488,70851
488,134
488,1306064
488,174981
488,558240
488,4430
488,6449
488,131
488,107515
488,60034
190,3265
190,4078
190,14276
190,74308
190,928572
190,14701
190,6449
190,14782
190,147
190,3892
190,489
190,1032
190,1150
190,1776
190,19429
190,18897
190,15111
190,4430
190,516
190,9979
190,9789
190,20156
190,4347
190,4299
380,1038
380,13
380,4512
380,4513
380,4430
380,4517
380,14702
380,4690
380,3096
380,45001
380,107605
380,11477
380,73421
380,1545693
380,1032
380,1158
380,3087
380,3092
380,1259
380,19665
380,1208
380,11181
380,30140
380,1006721
380,11483
380,3084
380,3085
380,113
380,55949
380,30137
380,73641
380,1202593
380,33684
380,138986
380,53397
380,7904
380,7447
380,85564
4690,4038
4690,25626
4690,3096
4690,32396
4690,1458116
4690,10468
4690,10400
4690,1884
4690,8891
4690,2231
4690,139
4690,37934
4690,15310
4690,12207
4690,56323
4690,56322
4690,41091
3096,1158
3096,3087
3096,3092
3096,3084
3096,3085
10400,23916
10400,178536
10400,10468
10400,7909
10400,1884
10400,7174
10400,1573653
10400,21064
10400,110559
10400,73931
10400,65717
10400,10431
10400,9066
73931,4483
73931,142439
73931,20627
73931,2113523
73931,7447
73931,9560
73931,3085
73931,6352
73931,13301
73931,1487
36592,1373737
36592,10990
36592,230680
36592,73357
36592,1702761
36592,5469
36592,1164
36592,1291350
36592,2136046
36592,2135942
1373737,10990
1373737,47646
1373737,59620
1373737,1108724
10990,10980
10990,10989
10215,116341
10215,7487
10215,47990
10215,112923
10215,1829413
10215,10214
10215,10592
10215,10593
10215,230192
10215,230193
10215,230194
10215,230195
10215,55466
10215,16463
10215,10594
10215,558240
10215,8968
10215,11181
10215,1149345
10215,80535
10215,47632
10215,1116912
10215,2585
10215,110001
10215,100183
10215,13745
10215,62644
10215,32362
10215,1395597
10215,58198
10215,1409651
10215,1409652
10215,108661
10215,214830
10215,1070445
230194,230195
230194,230192
230194,230193
230194,145755
230194,1082289
230194,1082290
230195,145755
230195,1082289
230195,1082290
230195,230192
230195,230193
325,84534
325,9315
325,224858
325,1391409
325,544016
325,62644
325,2041
325,1740159
325,1740160
325,1945289
325,1135272
325,70851
325,134
325,1776464
325,4244
325,4238
325,37934
325,15310
325,12207
70851,22297
70851,533061
70851,11669
70851,27738
70851,52792
70851,79082
70851,1743385
70851,109
70851,134
70851,7090
70851,114470
70851,923
70851,1847916
70851,1416462
70851,1416474
70851,102786
70851,964843
70851,198
134,27319
134,6193
134,135651
134,60073
134,1158
134,2157
134,8851
134,979952
134,32715
134,84445
134,197833
134,573813
2231,822
2231,20879
2231,8891
2231,139
2231,2632
2231,5726
2231,1
2231,6159
2231,943183
2231,19742
2231,2047
2231,2049
2231,16828
2231,3223
2231,134
2231,27319
2231,6193
2231,113674
2231,10850
2231,12891
2231,44038
2231,2963
2231,4430
2231,6449
2231,516
2231,35705
2231,143242
2231,174837
2231,2535
2231,140
2231,103
2231,11477
2231,380
2231,4517
2231,287
2231,19119
2231,74568
1,6159
1,1169636
1,71538
1,1021364
1,553222
1,12898
1,31
1,1032
1,1150
1,2297235
1,491
1,3037
1,4951
1,2770645
1,1881494
1,229164
1,11770
1,515
1,349
1,1006721
1,11483
1,4
1,3799
1,130
1,33185
1,670
1,9979
1,9789
1,6449
6159,101378
6159,19968
6159,102429
6159,1032
6159,928545
6159,1645418
6159,1161962
131,6968
131,17142
131,107515
131,60034
131,69597
131,85097
131,96746
107515,60034
107515,1005788
107515,1076915
107515,162339
60034,69899
60034,13636
60034,11076
60034,49827
33829,1164
33829,1242428
1164,3999
1164,4000
1164,5469
1164,1291350
1164,1242428
1164,1222952
1164,1748
1164,1749
1164,1158
1164,1159
1164,1160
1164,148251
1164,4959
1164,32312
2559324,2559325
27888,2630
27888,227
27888,40542
2630,5048
2630,923
2630,585
2630,11478
2630,3556
2630,1423963
2630,32017
2630,41711
2630,97698
2630,106426
3037,4951
3037,18972
3037,2047
3037,6159
1032,1130441
1032,108650
1032,1150
1032,1130439
1032,1665042
1032,1867
1032,1006721
1032,11483
1032,1158
1032,224
1032,3027
1032,72861
1032,941022
1032,102429
1032,5168
1032,70035
1032,39012
1032,2636
1032,1077703
1032,132305
1032,5026
1032,3037
1032,4951
1032,40223
1032,11770
1032,10828
1032,1052109
1032,1052107
1032,1146050
1032,1038
1032,13
1032,8487
1032,7046
1032,1102449
1032,9979
1032,9789
1032,6449
1032,4517
1032,14702
1150,67877
1150,4301
